date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjclose,lgchem_open,lgchem_close,lgchem_high,lgchem_low,lginnotek_open,lginnotek_close,lginnotek_high,lginnotek_low,compound,new_us_cases,new_us_deaths,new_ca_cases,new_ca_deaths
2018-08-16,67.982,68.456,66.764,67.09,67.09,30320000.0,66.3058799999999,-0.33372155626119343,-0.009566270040449912,52.9375,53.4525,52.8675,53.33,51.9992,364000.0,367500.0,373500.0,361500.0,145500.0,146500.0,147000.0,141500.0,0.0,0.0,0.0,0.0,0.0
2018-08-17,64.7,65.354,60.706,61.1,61.1,94793000.0,66.2635199999999,2.1264182058047494,-0.08928305261588913,53.36,54.4875,53.29,54.395,53.0376,370000.0,365500.0,371500.0,364000.0,148000.0,142500.0,148500.0,142000.0,0.0,0.0,0.0,0.0,0.0
2018-08-20,58.34,61.7,57.64,61.688,61.688,87011500.0,66.2266399999999,-0.08208939478653487,0.009623567921440278,54.525,54.795,53.7775,53.865,52.5208,369500.0,366000.0,372500.0,364000.0,142500.0,139000.0,145500.0,138500.0,0.0,0.0,0.0,0.0,0.0
2018-08-21,62.122,64.958,61.8,64.38,64.38,65861000.0,66.1858399999999,-0.24307706452595346,0.04363895733367905,54.2,54.2975,53.5075,53.76,52.4184,364000.0,364000.0,366500.0,358500.0,139000.0,143000.0,143500.0,136500.0,0.0,0.0,0.0,0.0,0.0
2018-08-22,64.174,64.776,62.934,64.328,64.328,29730000.0,66.1013199999999,-0.5485947677684821,-0.0008077042559800015,53.525,54.09,53.46,53.7625,52.4209,366000.0,354500.0,366500.0,351000.0,144000.0,139500.0,145500.0,139000.0,0.0,0.0,0.0,0.0,0.0
2018-08-23,63.828,65.464,63.62,64.02,64.02,25736500.0,66.00259999999989,-0.13432559704002692,-0.004787961696306537,53.6625,54.2625,53.65,53.8725,52.5281,355500.0,356500.0,358500.0,354000.0,140500.0,142000.0,142500.0,138000.0,0.0,0.0,0.0,0.0,0.0
2018-08-24,64.14,64.77,63.88,64.564,64.564,18013000.0,65.86299999999989,-0.3000990810716298,0.00849734457981876,54.15,54.225,53.7775,54.04,52.6914,355500.0,366000.0,366500.0,352500.0,143000.0,137000.0,143000.0,133500.0,0.0,0.0,0.0,0.0,0.0
2018-08-27,63.6,64.488,61.762,63.854,63.854,65396500.0,65.7073999999999,2.6305168489424307,-0.010996840344464312,54.2875,54.685,54.0825,54.485,53.1253,366000.0,372000.0,374500.0,360500.0,139000.0,142000.0,142500.0,137500.0,0.0,0.0,0.0,0.0,0.0
2018-08-28,63.682,63.776,62.238,62.372,62.372,38245500.0,65.47151999999988,-0.41517512405098134,-0.023209195978325544,54.7525,55.135,54.73,54.925,53.5544,372500.0,366000.0,376500.0,365000.0,145000.0,143000.0,147000.0,142500.0,0.0,0.0,0.0,0.0,0.0
2018-08-29,62.054,62.37,60.738,61.002,61.002,37237000.0,65.28135999999988,-0.02636911532075669,-0.021964984287821416,55.0375,55.8725,54.8525,55.745,54.3539,368500.0,374000.0,375000.0,366500.0,143000.0,145000.0,146000.0,142500.0,0.0,0.0,0.0,0.0,0.0
