,Link,Date,Headline,neg,neu,pos,compound
84,https://www.investing.com/news/technology-news/amazon-music-crosses-55-million-subscribers-globally-trails-apple-music-2065212,2020-01-22,"Amazon Music crosses 55 million subscribers globally, trails Apple Music By Reuters",0.0,0.87,0.13,0.9595
85,https://www.investing.com/news/stock-market-news/stocks--sp-continues-flirt-with-record-as-tech-rallies-2065269,2020-01-22,Stocks - S&P Continues Flirt With Record as Tech Rallies By Investing.com,0.036,0.84,0.123,0.9698
86,https://www.investing.com/news/stock-market-news/google-finds-security-flaws-in-apples-web-browser-ft-2065261,2020-01-22,Google finds security flaws in Apple's web browser: FT By Reuters,0.012,0.931,0.057,0.7269
87,https://www.investing.com/news/technology-news/stmicro-earnings-beat-estimates-on-demand-for-nextgeneration-chips-2065738,2020-01-23,STMicro CEO says a Huawei ban would not threaten $12 billion revenue target By Reuters,0.067,0.838,0.095,0.807
88,https://www.investing.com/news/technology-news/apple-pushes-back-against-eu-common-charger-warns-of-innovation-risks-2066246,2020-01-23,"Apple pushes back against EU common charger, warns of innovation risks By Reuters",0.034,0.896,0.071,0.9133
89,https://www.investing.com/news/stock-market-news/netflix-jumps-as-analysts-see-no-end-to-cord-cutting-2066457,2020-01-23,Netflix Jumps as Analyst Sees 'No End' to Cord Cutting By Investing.com,0.124,0.827,0.049,-0.7906
90,https://www.investing.com/news/technology-news/broadcom-to-supply-wireless-components-to-apple-2066543,2020-01-23,Broadcom to supply wireless components to Apple By Reuters,0.0,0.935,0.065,0.4939
91,https://www.investing.com/news/politics/where-us-presidential-candidates-stand-on-breaking-up-big-tech-2066931,2020-01-24,Where U.S. presidential candidates stand on breaking up Big Tech By Reuters,0.072,0.879,0.049,-0.9788
92,https://www.investing.com/news/stock-market-news/stocks--us-futures-move-higher-europe-posts-strong-gains-2066950,2020-01-24,Stocks - U.S. Futures Move Higher; Europe Posts Strong Gains By Investing.com,0.054,0.823,0.123,0.9875
93,https://www.investing.com/news/stock-market-news/stocks--intel-broadcom-rise-in-premarket-nextera-slips-2067120,2020-01-24,"Stocks - Intel, Broadcom Rise in Premarket; NextEra Slips By Investing.com",0.0,0.887,0.113,0.3182
94,https://www.investing.com/news/economy/take-five-when-china-sneezes-2067195,2020-01-24,Take Five: When China sneezes By Reuters,0.111,0.778,0.111,-0.6841
95,https://www.investing.com/news/forex-news/stocks--wall-street-drifts-while-intel-surges-on-strong-earnings-2067238,2020-01-24,"Stocks - Wall Street Drifts, While Intel Surges on Strong Earnings By Investing.com",0.011,0.902,0.087,0.9657
96,https://www.investing.com/news/economic-indicators/fiscal-policies-of-main-irish-parties-vying-for-power-2067417,2020-01-24,Fiscal policies of main Irish parties vying for power By Reuters,0.098,0.756,0.146,0.9703
97,https://www.investing.com/news/technology-news/fourcomma-club-predicting-the-next-company-to-join-trilliondollar-value-elite-2067405,2020-01-24,Four-comma club: Predicting the next company to join trillion-dollar value elite By Reuters,0.004,0.847,0.149,0.9983
98,https://www.investing.com/news/stock-market-news/appletv-pips-disney-to-third-place-in-q4-as-streaming-wars-intensify-2067486,2020-01-24,AppleTV+ Pips Disney to Third Place in Q4 as Streaming Wars Intensify By Investing.com,0.013,0.864,0.123,0.9666
99,https://www.investing.com/news/stock-market-news/wall-street-bogged-down-by-china-virus-fears-intel-limits-losses-2067094,2020-01-24,The S&P 500 has worst day since October as virus fears mount By Reuters,0.066,0.863,0.071,-0.0793
100,https://www.investing.com/news/stock-market-news/wall-street-week-ahead-hopes-are-high-for-tech-stock-cadillacs-so-are-their-prices-2067327,2020-01-24,Wall Street Week Ahead: Hopes are high for tech stock 'Cadillacs'; so are their prices By Reuters,0.024,0.832,0.144,0.9985
101,https://www.investing.com/news/economy/economic-calendar--top-5-things-to-watch-this-week-2067873,2020-01-26,Economic Calendar - Top 5 Things to Watch This Week By Investing.com,0.081,0.84,0.079,-0.5048
102,https://www.investing.com/news/stock-market-news/stocks--europe-seen-opening-lower-as-virus-concerns-intensify-2068104,2020-01-27,Stocks - Europe Seen Opening Lower as Virus Concerns Intensify By Investing.com,0.093,0.873,0.034,-0.9827
103,https://www.investing.com/news/stock-market-news/stocks--europe-slumps-as-virus-fears-intensify-italy-outperforms-2068132,2020-01-27,Stocks - Europe Slumps As Virus Fears Intensify; Italy Outperforms By Investing.com,0.099,0.838,0.062,-0.9803
104,https://www.investing.com/news/stock-market-news/stocks--wall-street-to-slump-at-open-virus-hits-sentiment-2068223,2020-01-27,Stocks - Wall Street to Slump at Open; Virus Hits Sentiment By Investing.com,0.103,0.845,0.052,-0.9775
105,https://www.investing.com/news/stock-market-news/trumps-massive-usuk-trade-deal-faces-big-hurdles-2068193,2020-01-27,Trump's 'massive' U.S.-UK trade deal faces big hurdles By Reuters,0.048,0.822,0.13,0.9974
106,https://www.investing.com/news/stock-market-news/stocks--sp-moves-off-lows-but-remains-under-pressure-dow-off-300-2068674,2020-01-27,"Stocks - S&P Moves off Lows, but Remains Under Pressure; Dow off 300 By Investing.com",0.19,0.734,0.076,-0.9912
107,https://www.investing.com/news/stock-market-news/apple-caught-up-in-virus-storm-one-analyst-keen-to-buy-the-dip-2068752,2020-01-27,Apple Caught up in Virus Storm; One Analyst Keen to Buy the Dip By Investing.com,0.042,0.87,0.088,0.9274
108,https://www.investing.com/news/stock-market-news/faangs-fall-but-get-some-wall-street-love-2068765,2020-01-27,"FAANG’s Fall, but Get Some Wall Street Love By Investing.com",0.032,0.793,0.176,0.9786
109,https://www.investing.com/news/stock-market-news/wall-street-tumbles-as-virus-fears-hit-travel-growth-stocks-2068311,2020-01-27,Wall Street tumbles as virus fuels economic worry By Reuters,0.1,0.856,0.044,-0.9884
110,https://www.investing.com/news/stock-market-news/day-ahead-top-3-things-to-watch-for-jan-28-2068907,2020-01-27,Day Ahead: Top 3 Things to Watch for Jan 28 By Investing.com,0.017,0.88,0.102,0.9895
111,https://www.investing.com/news/stock-market-news/asia-stocks-set-for-further-losses-on-virus-fears-markets-wrap-2068912,2020-01-27,Asia Stocks Set for Further Losses on Virus Fears: Markets Wrap By Bloomberg,0.131,0.825,0.044,-0.9838
112,https://www.investing.com/news/stock-market-news/stocks--europe-to-edge-higher-virus-prompts-caution-2069039,2020-01-28,Stocks - Europe to Edge Higher; Virus Prompts Caution By Investing.com,0.074,0.854,0.072,-0.5017
113,https://www.investing.com/news/technology-news/coronavirus-outbreak-may-disrupt-apples-iphone-production-ramp-up-plans-nikkei-2069040,2020-01-28,Coronavirus outbreak may disrupt Apple's iPhone production ramp up plans: Nikkei By Reuters,0.056,0.903,0.042,-0.6573
114,https://www.investing.com/news/stock-market-news/stocks--europe-edges-higher-apple-earnings-eyed-2069078,2020-01-28,Stocks - Europe Edges Higher; Apple Earnings Eyed By Investing.com,0.058,0.833,0.109,0.9815
115,https://www.investing.com/news/stock-market-news/europe-stocks-us-futures-pare-gains-bonds-rise-markets-wrap-2069096,2020-01-28,"Europe Stocks, U.S. Futures Pare Gains; Bonds Rise: Markets Wrap By Bloomberg",0.062,0.846,0.092,0.6908
116,https://www.investing.com/news/stock-market-news/top-5-things-to-know-in-the-market-on-tuesday-28th-january-2069173,2020-01-28,"Top 5 Things to Know in the Market on Tuesday, 28th January By Investing.com",0.089,0.828,0.082,-0.6282
117,https://www.investing.com/news/stock-market-news/stocks--wall-street-seen-higher-apple-tops-earnings-deluge-2069199,2020-01-28,Stocks - Wall Street Seen Higher; Apple Tops Earnings Deluge By Investing.com,0.045,0.902,0.053,0.6059
